Wavelength PAN BLUE GREEN RED NIR
695 0.897772912 0.019069257 0.004344108 0.280575419 0.024058459
700 0.888832441 0.008303624 0.003204848 0.165020427 0.02944318
705 0.87119602 0.005609699 0.002854106 0.095695129 0.034346249
710 0.866614383 0.006997504 0.002871344 0.053147328 0.040679373
715 0.868568275 0.010168121 0.004049674 0.030247823 0.048975746
720 0.871032106 0.012095643 0.006175133 0.021955128 0.059929883
725 0.862378862 0.009139727 0.007627731 0.020078183 0.072897902
730 0.881033256 0.003660724 0.00763793 0.020730149 0.09050569
735 0.881771049 0.002696417 0.005693048 0.021477879 0.119463913
740 0.897595217 0.002929747 0.003725397 0.019626108 0.16245646
745 0.907256368 0.002658787 0.002642771 0.014754604 0.24244118
750 0.929463522 0.003056769 0.002165459 0.009521539 0.360444924
755 0.932589703 0.003245894 0.002613401 0.006630799 0.493053959
760 0.907041734 0.003575824 0.003040208 0.005024689 0.634955803
765 0.919118277 0.003278482 0.00282794 0.004512772 0.798295512
770 0.915588772 0.003612883 0.003090857 0.004163753 0.946941978
775 0.903985452 0.003644766 0.003372381 0.004526195 1
780 0.893501969 0.003090955 0.003953503 0.005063257 0.997037364
785 0.880381149 0.003373213 0.003822788 0.0060175 0.970185187
790 0.871556442 0.003160285 0.004391182 0.006664615 0.934906186
795 0.849312233 0.003138429 0.004136674 0.006200671 0.900760809
800 0.845768087 0.002984485 0.003809745 0.004454617 0.869704841
805 0.855391347 0.003292291 0.003486605 0.003062732 0.851364314
810 0.858169009 0.003334306 0.003220914 0.002705523 0.838022936
815 0.858127551 0.00356486 0.003043614 0.002434119 0.832260688
820 0.867028067 0.003728532 0.003022238 0.00247122 0.825633982
825 0.833854878 0.003986189 0.003119115 0.002483916 0.820199932
830 0.843869882 0.004117566 0.003212118 0.002367219 0.806938235
835 0.849955169 0.00427731 0.003303032 0.0026157 0.784424905
840 0.855213811 0.004176214 0.003699971 0.002444933 0.749359782
845 0.834144766 0.004952998 0.004429446 0.00261084 0.704041945
850 0.839186144 0.004781351 0.005081406 0.00250283 0.678241814
855 0.807592885 0.005852634 0.006899164 0.002596735 0.649284889
860 0.810467808 0.005722092 0.007798585 0.002503869 0.613114735
865 0.759250283 0.005617628 0.009076937 0.002346736 0.56686485
870 0.763871884 0.005304095 0.009201159 0.002373335 0.531654766
875 0.73422311 0.005200266 0.009043489 0.002212624 0.491541232
880 0.70641933 0.005164695 0.008620277 0.002120958 0.437111588
885 0.694213021 0.005153832 0.007980737 0.001984658 0.351604904
890 0.663382946 0.00528242 0.007601435 0.001871372 0.275272505
895 0.654386459 0.005699826 0.007496516 0.002008757 0.221585539
900 0.618578839 0.006801332 0.007601806 0.002133275 0.160440699
905 0.600340671 0.008256806 0.007821537 0.002452496 0.116564757
910 0.591964372 0.009754815 0.008101327 0.002798288 0.084004361
915 0.57433483 0.01053639 0.008153071 0.002787772 0.067165485
920 0.530795447 0.010948324 0.007769264 0.002515915 0.040838604
925 0.496946337 0.009322708 0.006707691 0.00153179 0.020479847
930 0.479605345 0.007620834 0.005591567 0.001156261 0.013533666
935 0.446336515 0.006125609 0.004641561 0.001080196 0.010030488
940 0.414820101 0.005037504 0.003860407 0.000979412 0.007771501
945 0.404806365 0.004226586 0.003090865 0.000974674 0.006382551
950 0.373897025 0.003535527 0.002667445 0.001034753 0.005365744
955 0.34464946 0.002916826 0.002024949 0.000813085 0.004554778
960 0.311748717 0.002115294 0.001671614 0.000828072 0.00348217
965 0.295159051 0.001726258 0.001482209 0.000716316 0.002807103
970 0.272874922 0.001568315 0.001241945 0.000698145 0.002434581
975 0.256737794 0.001384732 0.001252422 0.000706092 0.002227691
980 0.24276485 0.001203337 0.001051786 0.0006728 0.002088101
985 0.221616462 0.001206906 0.00094262 0.000584664 0.001858021
990 0.210694006 0.001222287 0.00096601 0.000629043 0.001819696
995 0.197116752 0.001119417 0.000866727 0.00067889 0.001902729
1000 0.177575836 0.001120207 0.000789552 0.000759607 0.001614991
1005 0.162979202 0.001043647 0.000871841 0.000678263 0.001732032
1010 0.148469721 0.001085154 0.000888607 0.000643928 0.00172498
1015 0.135768652 0.001226843 0.000962072 0.000851106 0.002042824
1020 0.123970417 0.00123848 0.001117771 0.0009304 0.00214202
1025 0.10852433 0.001460564 0.001273569 0.000756536 0.002022751
1030 0.095425305 0.001834699 0.001051244 0.000832786 0.001903077
1035 0.083094886 0.001499051 0.001062187 0.000910982 0.001705444
1040 0.071500151 0.001523155 0.00085973 0.000879885 0.001806588
1045 0.06342383 0.001406142 0.000976607 0.000643642 0.001698405
1050 0.054793341 0.001218887 0.000861348 0.000832291 0.002000368
1055 0.047568254 0 0 0 0
1060 0.010059517 0 0 0 0
1065 0 0 0 0 0
1070 0 0 0 0 0
1075 0 0 0 0 0
1080 0 0 0 0 0
1085 0 0 0 0 0
1090 0 0 0 0 0
1095 0 0 0 0 0
1100 0 0 0 0 0
