WKT,PLOT_NUMBE,Z_P_AFRA,COWLINGS_R,PLOT,HERB,LITTER,ALLOMETRY,TAGC,X,Y,X_DMS,YDMS
"POINT (24.62674 -33.65965)",GHST8,0,Gamtoos Bontveld,GHST8,0.775200,0.088320,4.344821,5.208341,24.62674,-33.65965,24 37 36,-33 39 35
"POINT (24.62788 -33.66101)",GHST9,7,Gamtoos Bontveld,GHST9,0.792960,0.426240,20.809381,22.028581,24.62788,-33.66101,24 37 40,-33 39 40
"POINT (24.29508 -33.62811)",KAD1,0,Baviaanskloof spekboom thicket,KAD1,0.270480,0.159360,3.316019,3.745859,24.29508,-33.62811,24 17 42,-33 37 41
"POINT (24.29387 -33.63198)",KAD10,0,Baviaanskloof spekboom thicket,KAD10,1.870680,2.545920,34.529153,38.945753,24.29387,-33.63198,24 17 38,-33 37 55
"POINT (24.29528 -33.62892)",KAD2,0,Baviaanskloof spekboom thicket,KAD2,0.371280,0.470400,2.265682,3.107362,24.29528,-33.62892,24 17 43,-33 37 44
"POINT (24.2953 -33.62921)",KAD3,0,Baviaanskloof spekboom thicket,KAD3,0.564960,1.390080,2.103176,4.058216,24.29530,-33.62921,24 17 43,-33 37 45
"POINT (24.29371 -33.63118)",KAD4,0,Baviaanskloof spekboom thicket,KAD4,1.188000,2.647680,6.705598,10.541278,24.29371,-33.63118,24 17 37,-33 37 52
"POINT (24.29387 -33.6309)",KAD5,6,Baviaanskloof spekboom thicket,KAD5,1.332240,1.507200,15.966467,18.805907,24.29387,-33.63090,24 17 38,-33 37 51
"POINT (24.29436 -33.63213)",KAD6,0,Baviaanskloof spekboom thicket,KAD6,0.942720,1.881600,8.329432,11.153752,24.29436,-33.63213,24 17 40,-33 37 56
"POINT (24.29501 -33.63091)",KAD7,0,Baviaanskloof spekboom thicket,KAD7,1.614960,1.038720,13.678728,16.332408,24.29501,-33.63091,24 17 42,-33 37 51
"POINT (24.29566 -33.63118)",KAD8,0,Baviaanskloof spekboom thicket,KAD8,2.638080,1.578240,0.075002,4.291322,24.29566,-33.63118,24 17 44,-33 37 52
"POINT (24.2937 -33.63361)",KAD9,0,Baviaanskloof spekboom thicket,KAD9,2.125320,0.656640,0.010980,2.792940,24.29370,-33.63361,24 17 37,-33 38 01
"POINT (24.27569 -33.63572)",KASS1,65,Baviaanskloof spekboom thicket,KADSS1,0.000000,2.484480,22.126805,24.611285,24.27569,-33.63572,24 16 32,-33 38 09
"POINT (24.27649 -33.6364)",KASS2,30,Baviaanskloof spekboom thicket,KADSS2,0.510000,1.416960,11.526939,13.453899,24.27649,-33.63640,24 16 35,-33 38 11
"POINT (24.27698 -33.63639)",KASS3,40,Baviaanskloof spekboom thicket,KADSS3,1.469760,4.247040,11.823520,17.540320,24.27698,-33.63639,24 16 37,-33 38 11
"POINT (24.27732 -33.63532)",KASS4,35,Baviaanskloof spekboom thicket,KADSS4,0.005520,0.783360,7.641898,8.430778,24.27732,-33.63532,24 16 38,-33 38 07
"POINT (24.27587 -33.63557)",KASS5,45,Baviaanskloof spekboom thicket,KADSS5,0.000000,0.234240,19.236118,19.470358,24.27587,-33.63557,24 16 33,-33 38 08
"POINT (24.24748 -33.6328)",KCAB1,70,Baviaanskloof spekboom thicket,KCAB1,0.000000,2.772480,15.155623,17.928103,24.24748,-33.63280,24 14 51,-33 37 58
"POINT (24.24782 -33.63253)",KCAB2,70,Baviaanskloof spekboom thicket,KCAB2,0.131160,2.040960,13.702147,15.874267,24.24782,-33.63253,24 14 52,-33 37 57
"POINT (24.24814 -33.63226)",KCAB3,40,Baviaanskloof spekboom thicket,KCAB3,0.000000,2.780160,23.594773,26.374933,24.24814,-33.63226,24 14 53,-33 37 56
"POINT (24.2483 -33.6332)",KCAB4,55,Baviaanskloof spekboom thicket,KCAB4,0.016800,7.130880,16.015610,23.163290,24.24830,-33.63320,24 14 54,-33 37 60
"POINT (24.24847 -33.63172)",KCAB5,55,Baviaanskloof spekboom thicket,KCAB5,0.000000,1.021440,83.028476,84.049916,24.24847,-33.63172,24 14 54,-33 37 54
"POINT (24.26649 -33.62562)",KDH1,0,Baviaanskloof spekboom thicket,KDH1,1.259520,0.216960,0.001394,1.477874,24.26649,-33.62562,24 15 59,-33 37 32
"POINT (24.26664 -33.62621)",KDH2,0,Baviaanskloof spekboom thicket,KDH2,0.985200,0.190080,0.083852,1.259132,24.26664,-33.62621,24 15 60,-33 37 34
"POINT (24.2667 -33.62531)",KDH3,0,Baviaanskloof spekboom thicket,KDH3,1.772400,0.357120,3.573151,5.702671,24.26670,-33.62531,24 16 00,-33 37 31
"POINT (24.26724 -33.62572)",KDH4,0,Baviaanskloof spekboom thicket,KDH4,1.703520,1.125120,0.168228,2.996868,24.26724,-33.62572,24 16 02,-33 37 33
"POINT (24.2669 -33.62676)",KDH5,0,Baviaanskloof spekboom thicket,KDH5,1.959840,1.136640,0.000000,3.096480,24.26690,-33.62676,24 16 01,-33 37 36
"POINT (24.25313 -33.61595)",KGHB1,0,Baviaanskloof spekboom thicket,KGHB1,0.854760,0.616320,1.594662,3.065742,24.25313,-33.61595,24 15 11,-33 36 57
"POINT (24.25476 -33.6164)",KGHB2,0,Baviaanskloof spekboom thicket,KGHB2,1.388520,0.389760,0.437840,2.216120,24.25476,-33.61640,24 15 17,-33 36 59
"POINT (24.25339 -33.6173)",KGHB3,0,Baviaanskloof spekboom thicket,KGHB3,2.003160,0.933120,2.902360,5.838640,24.25339,-33.61730,24 15 12,-33 37 02
"POINT (24.25393 -33.61798)",KGHB4,0,Baviaanskloof spekboom thicket,KGHB4,1.201080,0.161280,0.971132,2.333492,24.25393,-33.61798,24 15 14,-33 37 05
"POINT (24.25447 -33.61709)",KGHB5,0,Baviaanskloof spekboom thicket,KGHB5,0.917160,0.666240,0.904756,2.488156,24.25447,-33.61709,24 15 16,-33 37 02
"POINT (24.21363 -33.61279)",KKK1,50,Baviaanskloof spekboom thicket,KKK1,0.349320,16.573440,89.355742,106.278502,24.21363,-33.61279,24 12 49,-33 36 46
"POINT (24.21377 -33.6132)",KKK2,40,Baviaanskloof spekboom thicket,KKK2,2.553960,18.007680,33.132419,53.694059,24.21377,-33.61320,24 12 50,-33 36 48
"POINT (24.21445 -33.61239)",KKK3,35,Baviaanskloof spekboom thicket,KKK3,0.328800,1.735680,55.518144,57.582624,24.21445,-33.61239,24 12 52,-33 36 45
"POINT (24.21476 -33.61211)",KKK4,60,Baviaanskloof spekboom thicket,KKK4,0.036240,10.882560,30.774229,41.693029,24.21476,-33.61211,24 12 53,-33 36 44
"POINT (24.2151 -33.61281)",KKK5,75,Baviaanskloof spekboom thicket,KKK5,0.023400,4.279680,39.451789,43.754869,24.21510,-33.61281,24 12 54,-33 36 46
"POINT (24.3144 -33.64362)",KKO1,45,Baviaanskloof spekboom thicket,KKO1,0.202680,1.267200,8.516998,9.986878,24.31440,-33.64362,24 18 52,-33 38 37
"POINT (24.3144 -33.64283)",KKO2,35,Baviaanskloof spekboom thicket,KKO2,0.021960,1.468800,6.313532,7.804292,24.31440,-33.64283,24 18 52,-33 38 34
"POINT (24.31537 -33.6435)",KKO3,30,Baviaanskloof spekboom thicket,KKO3,0.008520,4.538880,14.065537,18.612937,24.31537,-33.64350,24 18 55,-33 38 37
"POINT (24.31555 -33.64322)",KKO4,40,Baviaanskloof spekboom thicket,KKO4,0.068880,0.253440,7.426791,7.749111,24.31555,-33.64322,24 18 56,-33 38 36
"POINT (24.31586 -33.64404)",KKO5,40,Baviaanskloof spekboom thicket,KKO5,0.180240,1.328640,5.743209,7.252089,24.31586,-33.64404,24 18 57,-33 38 39
"POINT (24.24637 -33.60917)",KLK 1,0,Baviaanskloof thicket savanna,KLK1,1.247520,0.585600,26.361122,28.194242,24.24637,-33.60917,24 14 47,-33 36 33
"POINT (24.24879 -33.60898)",KLK 10,0,Baviaanskloof thicket savanna,KLK10,0.026280,0.420480,0.026564,0.473324,24.24879,-33.60898,24 14 56,-33 36 32
"POINT (24.24718 -33.60808)",KLK 2,0,Baviaanskloof thicket savanna,KLK2,0.759120,0.766080,0.526208,2.051408,24.24718,-33.60808,24 14 50,-33 36 29
"POINT (24.24719 -33.60787)",KLK 3,0,Baviaanskloof thicket savanna,KLK3,0.908640,1.119360,0.000006,2.028006,24.24719,-33.60787,24 14 50,-33 36 28
"POINT (24.24743 -33.60942)",KLK 4,0,Baviaanskloof thicket savanna,KLK4,0.389160,1.090560,0.009107,1.488827,24.24743,-33.60942,24 14 51,-33 36 34
"POINT (24.24771 -33.60852)",KLK 5,0,Baviaanskloof thicket savanna,KLK5,0.423720,1.578240,0.020918,2.022878,24.24771,-33.60852,24 14 52,-33 36 31
"POINT (24.24769 -33.6083)",KLK 6,0,Baviaanskloof thicket savanna,KLK6,0.353040,0.673920,0.015633,1.042593,24.24769,-33.60830,24 14 52,-33 36 30
"POINT (24.24797 -33.60966)",KLK 7,0,Baviaanskloof thicket savanna,KLK7,0.162720,0.637440,0.026753,0.826913,24.24797,-33.60966,24 14 53,-33 36 35
"POINT (24.24851 -33.60964)",KLK 8,0,Baviaanskloof thicket savanna,KLK8,0.405600,0.230400,0.000761,0.636761,24.24851,-33.60964,24 14 55,-33 36 35
"POINT (24.2488 -33.60921)",KLK 9,0,Baviaanskloof thicket savanna,KLK9,0.111960,1.257600,0.001534,1.371094,24.24880,-33.60921,24 14 56,-33 36 33
"POINT (24.33305 -33.64769)",KQ1,45,Baviaanskloof spekboom thicket,KQ1,0.190800,4.788480,21.411904,26.391184,24.33305,-33.64769,24 19 59,-33 38 52
"POINT (24.3334 -33.6477)",KQ2,20,Baviaanskloof spekboom thicket,KQ2,1.165920,2.112000,10.785659,14.063579,24.33340,-33.64770,24 20 00,-33 38 52
"POINT (24.33339 -33.64716)",KQ3,35,Baviaanskloof spekboom thicket,KQ3,0.958800,0.529920,14.584888,16.073608,24.33339,-33.64716,24 20 00,-33 38 50
"POINT (24.33371 -33.64743)",KQ4,20,Baviaanskloof spekboom thicket,KQ4,1.512120,1.351680,11.282393,14.146193,24.33371,-33.64743,24 20 01,-33 38 51
"POINT (24.33451 -33.64757)",KQ5,20,Baviaanskloof spekboom thicket,KQ5,1.576200,0.357120,10.495843,12.429163,24.33451,-33.64757,24 20 04,-33 38 51
"POINT (24.20897 -33.60315)",KRC1,0,Baviaanskloof spekboom thicket,KRC1,0.264480,3.736320,1.278555,5.279355,24.20897,-33.60315,24 12 32,-33 36 11
"POINT (24.20913 -33.60315)",KRC2,0,Baviaanskloof spekboom thicket,KRC2,1.917360,1.545600,11.494207,14.957167,24.20913,-33.60315,24 12 33,-33 36 11
"POINT (24.20931 -33.60192)",KRC3,0,Baviaanskloof spekboom thicket,KRC3,1.065120,0.320640,1.406864,2.792624,24.20931,-33.60192,24 12 34,-33 36 07
"POINT (24.21043 -33.60275)",KRC4,0,Baviaanskloof spekboom thicket,KRC4,0.926400,4.838400,1.182048,6.946848,24.21043,-33.60275,24 12 38,-33 36 10
"POINT (24.21094 -33.60207)",KRC5,0,Baviaanskloof spekboom thicket,KRC5,1.067640,0.119040,10.446988,11.633668,24.21094,-33.60207,24 12 39,-33 36 07
"POINT (24.41431 -33.65649)",RHDST1,0,Baviaanskloof spekboom thicket,RHDST1,1.005840,0.568320,0.000000,1.574160,24.41431,-33.65649,24 24 52,-33 39 23
"POINT (24.38056 -33.66823)",RHDST10,0,Baviaanskloof spekboom thicket,RHDST10,0.049920,0.042240,0.000000,0.092160,24.38056,-33.66823,24 22 50,-33 40 06
"POINT (24.40286 -33.66854)",RHDST11,10,Baviaanskloof spekboom thicket,RHDST11,1.689480,0.192000,0.082435,1.963915,24.40286,-33.66854,24 24 10,-33 40 07
"POINT (24.40319 -33.67044)",RHDST12,0,Baviaanskloof spekboom thicket,RHDST12,0.208560,0.543360,3.013532,3.765452,24.40319,-33.67044,24 24 11,-33 40 14
"POINT (24.40401 -33.66896)",RHDST13,0,Baviaanskloof spekboom thicket,RHDST13,1.097880,3.252480,14.547424,18.897784,24.40401,-33.66896,24 24 14,-33 40 08
"POINT (24.40431 -33.67045)",RHDST14,3,Baviaanskloof spekboom thicket,RHDST14,0.160560,2.378880,3.766927,6.306367,24.40431,-33.67045,24 24 16,-33 40 14
"POINT (24.40529 -33.67004)",RHDST15,1,Baviaanskloof spekboom thicket,RHDST15,0.419520,0.253440,2.695531,3.368491,24.40529,-33.67004,24 24 19,-33 40 12
"POINT (24.41109 -33.66712)",RHDST16,0,Baviaanskloof spekboom thicket,RHDST16,1.098240,0.337920,0.117749,1.553909,24.41109,-33.66712,24 24 40,-33 40 02
"POINT (24.41139 -33.6682)",RHDST17,0,Baviaanskloof spekboom thicket,RHDST17,0.741360,0.257280,0.826497,1.825137,24.41139,-33.66820,24 24 41,-33 40 06
"POINT (24.41174 -33.66793)",RHDST18,0,Baviaanskloof spekboom thicket,RHDST18,0.575760,0.126720,3.993781,4.696261,24.41174,-33.66793,24 24 42,-33 40 05
"POINT (24.4119 -33.6678)",RHDST19,2,Baviaanskloof spekboom thicket,RHDST19,0.885120,0.913920,5.544967,7.344007,24.41190,-33.66780,24 24 43,-33 40 04
"POINT (24.41445 -33.65689)",RHDST2,0,Baviaanskloof spekboom thicket,RHDST2,0.436080,1.678080,8.579878,10.694038,24.41445,-33.65689,24 24 52,-33 39 25
"POINT (24.41221 -33.66808)",RHDST20,0,Baviaanskloof spekboom thicket,RHDST20,0.133920,0.560640,0.121092,0.815652,24.41221,-33.66808,24 24 44,-33 40 05
"POINT (24.42462 -33.66636)",RHDST21,0,Baviaanskloof spekboom thicket,RHDST21,1.169520,0.437760,1.435468,3.042748,24.42462,-33.66636,24 25 29,-33 39 59
"POINT (24.42592 -33.66582)",RHDST22,0,Baviaanskloof spekboom thicket,RHDST22,1.125960,0.445440,0.914830,2.486230,24.42592,-33.66582,24 25 33,-33 39 57
"POINT (24.42624 -33.6657)",RHDST23,0,Baviaanskloof spekboom thicket,RHDST23,1.450320,5.978880,21.706716,29.135916,24.42624,-33.66570,24 25 34,-33 39 57
"POINT (24.4264 -33.66542)",RHDST24,0,Baviaanskloof spekboom thicket,RHDST24,0.006240,0.099840,0.333356,0.439436,24.42640,-33.66542,24 25 35,-33 39 56
"POINT (24.42722 -33.66529)",RHDST25,0,Baviaanskloof spekboom thicket,RHDST25,0.047040,0.752640,2.312612,3.112292,24.42722,-33.66529,24 25 38,-33 39 55
"POINT (24.41463 -33.65675)",RHDST3,0,Baviaanskloof spekboom thicket,RHDST3,0.459600,0.844800,6.075197,7.379597,24.41463,-33.65675,24 24 53,-33 39 24
"POINT (24.41705 -33.65717)",RHDST4,0,Baviaanskloof spekboom thicket,RHDST4,0.127440,0.848640,3.604156,4.580236,24.41705,-33.65717,24 25 01,-33 39 26
"POINT (24.41785 -33.65758)",RHDST5,4,Baviaanskloof spekboom thicket,RHDST5,0.170880,0.226560,4.845740,5.243180,24.41785,-33.65758,24 25 04,-33 39 27
"POINT (24.37878 -33.66863)",RHDST6,0,Baviaanskloof spekboom thicket,RHDST6,0.096240,11.708160,1.492717,13.297117,24.37878,-33.66863,24 22 44,-33 40 07
"POINT (24.37926 -33.66877)",RHDST7,0,Baviaanskloof spekboom thicket,RHDST7,0.149760,0.276480,0.330584,0.756824,24.37926,-33.66877,24 22 45,-33 40 08
"POINT (24.37942 -33.66836)",RHDST8,0,Baviaanskloof spekboom thicket,RHDST8,0.758640,0.867840,0.210213,1.836693,24.37942,-33.66836,24 22 46,-33 40 06
"POINT (24.3804 -33.6681)",RHDST9,0,Baviaanskloof spekboom thicket,RHDST9,0.038640,0.572160,0.010420,0.621220,24.38040,-33.66810,24 22 49,-33 40 05
"POINT (24.40992 -33.65287)",RHOL1,0,Baviaanskloof spekboom thicket,RHOL1,0.922560,0.564480,3.067212,4.554252,24.40992,-33.65287,24 24 36,-33 39 10
"POINT (24.41218 -33.65316)",RHOL10,0,Baviaanskloof spekboom thicket,RHOL10,0.155640,1.680000,15.093053,16.928693,24.41218,-33.65316,24 24 44,-33 39 11
"POINT (24.41234 -33.65397)",RHOL11,0,Baviaanskloof spekboom thicket,RHOL11,0.264120,1.169280,3.478408,4.911808,24.41234,-33.65397,24 24 44,-33 39 14
"POINT (24.41282 -33.6541)",RHOL12,0,Baviaanskloof spekboom thicket,RHOL12,0.320760,0.063360,0.054725,0.438845,24.41282,-33.65410,24 24 46,-33 39 15
"POINT (24.41372 -33.65529)",RHOL13,3,Baviaanskloof spekboom thicket,RHOL13,0.473760,0.138240,8.900509,9.512509,24.41372,-33.65529,24 24 49,-33 39 19
"POINT (24.41388 -33.65516)",RHOL14,0,Baviaanskloof spekboom thicket,RHOL14,0.797280,0.069120,1.517732,2.384132,24.41388,-33.65516,24 24 50,-33 39 19
"POINT (24.41404 -33.65502)",RHOL15,0,Baviaanskloof spekboom thicket,RHOL15,0.735000,4.995840,15.742313,21.473153,24.41404,-33.65502,24 24 51,-33 39 18
"POINT (24.41452 -33.65557)",RHOL16,0,Baviaanskloof spekboom thicket,RHOL16,0.387120,0.399360,0.012808,0.799288,24.41452,-33.65557,24 24 52,-33 39 20
"POINT (24.41454 -33.6549)",RHOL17,0,Baviaanskloof spekboom thicket,RHOL17,0.487320,0.030720,0.028689,0.546729,24.41454,-33.65490,24 24 52,-33 39 18
"POINT (24.4147 -33.65476)",RHOL18,0,Baviaanskloof spekboom thicket,RHOL18,0.995760,0.076800,5.709049,6.781609,24.41470,-33.65476,24 24 53,-33 39 17
"POINT (24.41485 -33.65598)",RHOL19,0,Baviaanskloof spekboom thicket,RHOL19,0.904800,0.061440,0.000458,0.966698,24.41485,-33.65598,24 24 53,-33 39 22
"POINT (24.41007 -33.65328)",RHOL2,0,Baviaanskloof spekboom thicket,RHOL2,0.345120,0.197760,0.997547,1.540427,24.41007,-33.65328,24 24 36,-33 39 12
